dataset,model,cap,seed,ep,hard,soft,K,gsat,lsat,lam,ce,acc,Lg,Ll
tissuemnist,MobileNetV3,L50_G50,1,15.0,139.0,138.96,86.0,0.0,0.0,0.05,0.038269,0.9882,0.087795,0.175324
tissuemnist,MobileNetV3,L50_G50,1,20.0,255.0,257.27,86.0,0.0,0.0,0.05,0.032573,0.9897,0.232947,0.465779
tissuemnist,MobileNetV3,L50_G50,1,25.0,257.0,250.98,86.0,0.0,0.0,0.05,0.03135,0.9905,0.229451,0.458267
tissuemnist,MobileNetV3,L50_G50,1,30.0,102.0,106.41,86.0,0.0,0.0,0.05,0.01362,0.9958,0.022926,0.045867
tissuemnist,MobileNetV3,L50_G50,2,2.0,254.0,329.39,86.0,0.0,0.0,0.05,1.096688,0.588,0.259197,0.518399
tissuemnist,MobileNetV3,L50_G50,2,5.0,72.0,98.11,86.0,1.0,1.0,0.06,0.571762,0.7908,0.023049,0.046202
tissuemnist,MobileNetV3,L50_G50,2,10.0,119.0,135.03,86.0,0.0,0.0,0.06,0.135846,0.9545,0.224051,0.447454
tissuemnist,MobileNetV3,L50_G50,2,15.0,149.0,158.82,86.0,0.0,0.0,0.06,0.061678,0.98,0.37242,0.730899
tissuemnist,MobileNetV3,L50_G50,2,20.0,300.0,304.61,86.0,0.0,0.0,0.06,0.037599,0.9878,0.759251,1.518372
tissuemnist,MobileNetV3,L50_G50,2,25.0,144.0,149.96,86.0,0.0,0.0,0.06,0.023096,0.9924,0.319587,0.621752
tissuemnist,MobileNetV3,L50_G50,2,28.0,58.0,59.67,86.0,1.0,1.0,0.06,0.025018,0.9905,0.0,0.0
tissuemnist,MobileNetV3,L50_G50,2,30.0,95.0,97.96,86.0,0.0,0.0,0.06,0.020682,0.9926,0.022585,0.088672
octmnist,MobileNetV3,L50_G50,4,2.0,131.0,148.23,125.0,0.0,0.0,0.05,0.407532,0.8363,0.016183,0.051904
octmnist,MobileNetV3,L50_G50,4,5.0,76.0,86.47,125.0,1.0,1.0,0.06,0.129846,0.9508,0.0,0.0
octmnist,MobileNetV3,L50_G50,4,10.0,157.0,157.3,125.0,0.0,0.0,0.06,0.043508,0.9842,0.063458,0.197027
octmnist,MobileNetV3,L50_G50,4,11.0,87.0,85.9,125.0,1.0,1.0,0.06,0.023505,0.9914,0.0,0.0
octmnist,MobileNetV3,L50_G50,4,14.0,122.0,119.07,125.0,1.0,1.0,0.06,0.028847,0.9896,0.0,0.0
octmnist,MobileNetV3,L50_G50,4,15.0,280.0,282.94,125.0,0.0,0.0,0.06,0.020053,0.9931,0.541817,1.590857
octmnist,MobileNetV3,L50_G50,4,20.0,144.0,147.99,125.0,0.0,0.0,0.06,0.016999,0.9943,0.035875,0.12211
octmnist,MobileNetV3,L50_G50,4,25.0,163.0,162.21,125.0,0.0,0.0,0.06,0.018704,0.9928,0.08045,0.240118
octmnist,MobileNetV3,L50_G50,4,30.0,168.0,169.97,125.0,0.0,0.0,0.06,0.016336,0.9939,0.109976,0.331777
octmnist,MobileNetV3,L50_G50,3,2.0,236.0,209.42,125.0,0.0,0.0,0.05,0.402271,0.8393,0.098472,0.295328
octmnist,MobileNetV3,L50_G50,3,5.0,176.0,177.31,125.0,0.0,0.0,0.06,0.135568,0.948,0.140286,0.427143
octmnist,MobileNetV3,L50_G50,3,8.0,113.0,110.2,125.0,1.0,1.0,0.06,0.048987,0.9828,0.0,0.0
octmnist,MobileNetV3,L50_G50,3,10.0,168.0,166.45,125.0,0.0,0.0,0.06,0.045005,0.9832,0.166843,0.534179
octmnist,MobileNetV3,L50_G50,3,15.0,107.0,107.66,125.0,1.0,1.0,0.06,0.028088,0.9901,0.0,0.0
octmnist,MobileNetV3,L50_G50,3,19.0,111.0,108.36,125.0,1.0,1.0,0.06,0.020405,0.9935,0.0,0.0
octmnist,MobileNetV3,L50_G50,3,20.0,214.0,214.67,125.0,0.0,0.0,0.06,0.015591,0.9946,0.545247,1.64021
octmnist,MobileNetV3,L50_G50,3,24.0,112.0,112.48,125.0,1.0,1.0,0.06,0.018768,0.9942,0.0,0.0
octmnist,MobileNetV3,L50_G50,3,25.0,205.0,202.48,125.0,0.0,0.0,0.06,0.019248,0.9931,0.447983,1.353996
octmnist,MobileNetV3,L50_G50,3,26.0,108.0,112.85,125.0,1.0,1.0,0.06,0.019579,0.9935,0.0,0.0
octmnist,MobileNetV3,L50_G50,3,30.0,143.0,137.74,125.0,0.0,0.0,0.06,0.00991,0.9962,0.021463,0.100879
octmnist,MobileNetV3,L50_G50,1,2.0,243.0,208.91,125.0,0.0,0.0,0.05,0.410681,0.8354,0.097737,0.293541
octmnist,MobileNetV3,L50_G50,1,3.0,53.0,86.88,125.0,1.0,1.0,0.05,0.323418,0.8748,0.0,0.0
octmnist,MobileNetV3,L50_G50,1,5.0,145.0,152.98,125.0,0.0,0.0,0.05,0.141271,0.9471,0.030045,0.09472
octmnist,MobileNetV3,L50_G50,1,10.0,161.0,158.94,125.0,0.0,0.0,0.05,0.042781,0.9853,0.04066,0.123347
octmnist,MobileNetV3,L50_G50,1,15.0,134.0,136.28,125.0,0.0,0.0,0.05,0.02691,0.9905,0.00778,0.028045
octmnist,MobileNetV3,L50_G50,1,19.0,102.0,105.49,125.0,1.0,1.0,0.05,0.016111,0.9946,0.0,0.0
octmnist,MobileNetV3,L50_G50,1,20.0,136.0,136.63,125.0,0.0,0.0,0.05,0.013353,0.9954,0.008115,0.024328
octmnist,MobileNetV3,L50_G50,1,23.0,118.0,119.13,125.0,1.0,1.0,0.05,0.026314,0.9908,0.0,0.001229
octmnist,MobileNetV3,L50_G50,1,25.0,161.0,160.19,125.0,0.0,0.0,0.05,0.013793,0.9948,0.043026,0.131698
octmnist,MobileNetV3,L50_G50,1,28.0,98.0,97.41,125.0,1.0,1.0,0.05,0.011433,0.9962,0.0,0.0
octmnist,MobileNetV3,L50_G50,1,30.0,120.0,123.07,125.0,1.0,0.0,0.05,0.029405,0.9902,0.0,0.017607
octmnist,MobileNetV3,L50_G50,2,2.0,105.0,151.14,125.0,1.0,0.0,0.05,0.414535,0.8377,0.019122,0.061287
octmnist,MobileNetV3,L50_G50,2,3.0,47.0,88.22,125.0,1.0,1.0,0.05,0.325431,0.8709,0.0,0.0
octmnist,MobileNetV3,L50_G50,2,4.0,111.0,127.0,125.0,1.0,1.0,0.05,0.217659,0.9118,0.000895,0.004239
octmnist,MobileNetV3,L50_G50,2,5.0,116.0,123.96,125.0,1.0,1.0,0.05,0.128289,0.9503,0.0,0.001145
octmnist,MobileNetV3,L50_G50,2,8.0,105.0,107.84,125.0,1.0,1.0,0.05,0.047553,0.9822,0.0,0.0
