dataset,model,cap,method,seed,K,pool,n_true,count_raw,fill,final_excess_recomputed,final_feasible,count_adj,log_rows,log_epoch_max,log_exc_last,log_exc_min,ever_feasible_intrain,first_feas_ep,n_feas_ep
tissuemnist,MobileNetV3,L30_G30,hounie_rcl,4,51,2400,171,47,0.9215686274509803,0,1,51,29,28.0,122.0,0.0,1.0,0.0,2.0
tissuemnist,MobileNetV3,L30_G30,tralo,1,51,2400,171,35,0.6862745098039216,0,1,51,7,30.0,,,,,
tissuemnist,MobileNetV3,L30_G30,tralo,2,51,2400,171,73,1.4313725490196079,44,0,51,7,30.0,,,,,
tissuemnist,MobileNetV3,L30_G30,tralo,3,51,2400,171,36,0.7058823529411765,0,1,51,9,30.0,,,,,
tissuemnist,MobileNetV3,L30_G30,tralo,4,51,2400,171,42,0.8235294117647058,0,1,51,8,30.0,,,,,
dermmnist,MobileNetV3,L50_G50,fioretto_ldf,1,112,2003,223,78,0.6964285714285714,0,1,111,24,23.0,0.0,0.0,1.0,13.0,6.0
dermmnist,MobileNetV3,L50_G50,fioretto_ldf,2,112,2003,223,110,0.9821428571428571,1,0,111,29,28.0,1.0,1.0,0.0,,0.0
dermmnist,MobileNetV3,L50_G50,fioretto_ldf,3,112,2003,223,76,0.6785714285714286,0,1,111,20,19.0,0.0,0.0,1.0,15.0,5.0
dermmnist,MobileNetV3,L50_G50,fioretto_ldf,4,112,2003,223,97,0.8660714285714286,0,1,111,21,20.0,0.0,0.0,1.0,16.0,5.0
dermmnist,MobileNetV3,L50_G50,hounie_rcl,1,112,2003,223,54,0.48214285714285715,0,1,111,29,28.0,0.0,0.0,1.0,26.0,3.0
dermmnist,MobileNetV3,L50_G50,hounie_rcl,2,112,2003,223,71,0.6339285714285714,0,1,111,29,28.0,0.0,0.0,1.0,25.0,4.0
dermmnist,MobileNetV3,L50_G50,hounie_rcl,3,112,2003,223,38,0.3392857142857143,0,1,111,25,24.0,0.0,0.0,1.0,20.0,5.0
dermmnist,MobileNetV3,L50_G50,hounie_rcl,4,112,2003,223,52,0.4642857142857143,0,1,111,28,27.0,0.0,0.0,1.0,7.0,6.0
