dataset,model,cap,seed,fioretto_ldf,hounie_rcl,tralo,clip,bestdual,tralo_m_clip,bestdual_m_clip,tralo_m_bestdual,fio_m_clip,hou_m_clip,metric
octmnist,MobileNetV3,L50_G50,1,0.7215008445074367,0.7869481365119021,0.7709309982736356,0.7580042313731934,0.7869481365119021,0.012926766900442255,0.028943905138708703,-0.01601713823826645,-0.036503386865756715,0.028943905138708703,AP
octmnist,MobileNetV3,L50_G50,2,0.8295688576114865,0.8264072779293988,0.7560338499848368,0.8108231951833579,0.8295688576114865,-0.05478934519852108,0.018745662428128584,-0.07353500762664966,0.018745662428128584,0.01558408274604095,AP
octmnist,MobileNetV3,L50_G50,3,0.7651043720875812,0.7534063613721464,0.8145282858354329,0.8262172810605988,0.7651043720875812,-0.011688995225165866,-0.06111290897301758,0.04942391374785171,-0.06111290897301758,-0.07281091968845232,AP
octmnist,MobileNetV3,L50_G50,4,0.8121980585359813,0.8223765465515465,0.8286873641921993,0.72638479977456,0.8223765465515465,0.1023025644176393,0.09599174677698641,0.006310817640652888,0.08581325876142121,0.09599174677698641,AP
octmnist,RegNetY400MF,L30_G30,1,0.6941591535566026,0.7439418154228263,0.7520266239331184,0.7130774306587018,0.7439418154228263,0.038949193274416594,0.030864384764124564,0.00808480851029203,-0.018918277102099146,0.030864384764124564,AP
octmnist,RegNetY400MF,L30_G30,2,0.6921825660756759,0.7354033173452216,0.7160146073244622,0.754518911767582,0.7354033173452216,-0.03850430444311981,-0.019115594422360438,-0.01938871002075937,-0.06233634569190616,-0.019115594422360438,AP
octmnist,RegNetY400MF,L30_G30,3,0.7169548360754253,0.7309683404383006,0.7009144846064651,0.680427716868293,0.7309683404383006,0.02048676773817215,0.05054062357000766,-0.030053855831835508,0.036527119207132364,0.05054062357000766,AP
octmnist,RegNetY400MF,L30_G30,4,0.7420239925268304,0.7363880807584706,0.7363577678094129,0.7490056135725762,0.7420239925268304,-0.012647845763163357,-0.006981621045745845,-0.005666224717417512,-0.006981621045745845,-0.012617532814105603,AP
octmnist,RegNetY400MF,L50_G50,1,0.7502314134286019,0.6936655776390206,0.7562600735270854,0.7130774306587018,0.7502314134286019,0.04318264286838358,0.03715398276990012,0.006028660098483463,0.03715398276990012,-0.01941185301968118,AP
octmnist,RegNetY400MF,L50_G50,2,0.7711450729600202,0.7359659590527486,0.7029863068889415,0.754518911767582,0.7711450729600202,-0.05153260487864053,0.016626161192438205,-0.06815876607107874,0.016626161192438205,-0.01855295271483337,AP
octmnist,RegNetY400MF,L50_G50,3,0.6524936729647852,0.6970791274014569,0.6989346154196986,0.680427716868293,0.6970791274014569,0.018506898551405637,0.01665141053316399,0.0018554880182416467,-0.027934043903507733,0.01665141053316399,AP
octmnist,RegNetY400MF,L50_G50,4,0.6985667867227979,0.7252840383350404,0.7575557892552348,0.7490056135725762,0.7252840383350404,0.00855017568265859,-0.02372157523753582,0.03227175092019441,-0.050438826849778295,-0.02372157523753582,AP
tissuemnist,MobileNetV3,L30_G30,1,0.3954645792438441,0.3954645792438441,0.3954645792438441,0.39853999493550796,0.3954645792438441,-0.003075415691663863,-0.003075415691663863,0.0,-0.003075415691663863,-0.003075415691663863,AP
tissuemnist,MobileNetV3,L30_G30,2,0.3406587642309829,0.36162257750423865,0.444779157439954,0.38482688231431644,0.36162257750423865,0.059952275125637555,-0.02320430481007779,0.08315657993571535,-0.04416811808333354,-0.02320430481007779,AP
tissuemnist,MobileNetV3,L30_G30,3,0.25884573543613204,0.37836715294566153,0.3267056656925248,0.411828463207173,0.37836715294566153,-0.08512279751464819,-0.033461310261511445,-0.05166148725313674,-0.15298272777104094,-0.033461310261511445,AP
tissuemnist,MobileNetV3,L30_G30,4,0.3860343293557206,0.3808957268250199,0.42230281926866087,0.38274006452985887,0.3860343293557206,0.039562754738802,0.0032942648258617035,0.036268489912940294,0.0032942648258617035,-0.0018443377048389942,AP
tissuemnist,MobileNetV3,L50_G50,1,0.28715025236541913,0.3954645792438441,0.41318960123149534,0.39853999493550796,0.3954645792438441,0.014649606295987383,-0.003075415691663863,0.017725021987651246,-0.11138974257008882,-0.003075415691663863,AP
