campaign,dataset,model,cap,method,n_seeds,K,n_pool,n_true_cls,K_frac_pool,clip_raw,clip_raw_min,clip_raw_max,natural_rate,K_over_clip_raw,binds,ccF1eq,AP,macroEq,count_raw,count_adj,sat,n_collapsed,d_vs_bestdual,d_vs_clip,constraint_epochs_run,last_epoch,warmup,cepochs,ce_skip,lr,lr_constraint,stable_thr
headroom_b30,tissuemnist,RegNetY400MF,L30_G30,tralo,4,51,2400,171,0.02125,168.0,142,210,0.07,0.30357142857142855,yes,0.25900900900900903,0.38861543553884004,0.3878758356772787,128.5,51.0,0.0,0,-0.015765765765765757,-0.015765765765765757,29.0,30.0,1,29,True,0.0001,5e-06,
headroom_b30,tissuemnist,RegNetY400MF,L50_G50,danits_lp,4,86,2400,171,0.035833333333333335,168.0,142,210,0.07,0.5119047619047619,yes,0.34824902723735407,0.38417038007380194,0.42419018433111044,168.0,86.0,0.0,0,-0.009727626459143948,-0.01361867704280155,0.0,,30,0,,0.0001,5e-06,
headroom_b30,tissuemnist,RegNetY400MF,L50_G50,fioretto_ldf,4,86,2400,171,0.035833333333333335,168.0,142,210,0.07,0.5119047619047619,yes,0.32684824902723736,0.38948333989024486,0.3954982128766046,128.5,86.0,0.0,0,-0.009727626459143948,-0.01361867704280155,29.0,28.0,1,29,,0.0001,5e-06,
headroom_b30,tissuemnist,RegNetY400MF,L50_G50,heuristic,4,86,2400,171,0.035833333333333335,168.0,142,210,0.07,0.5119047619047619,yes,0.34824902723735407,0.38417038007380194,0.42419018433111044,168.0,86.0,0.0,0,-0.009727626459143948,-0.01361867704280155,0.0,,30,0,,0.0001,5e-06,
headroom_b30,tissuemnist,RegNetY400MF,L50_G50,hounie_rcl,4,86,2400,171,0.035833333333333335,168.0,142,210,0.07,0.5119047619047619,yes,0.33852140077821014,0.3940919121878514,0.3945057853643583,128.25,86.0,0.0,0,-0.009727626459143948,-0.01361867704280155,29.0,28.0,1,29,,0.0001,5e-06,
headroom_b30,tissuemnist,RegNetY400MF,L50_G50,tralo,4,86,2400,171,0.035833333333333335,168.0,142,210,0.07,0.5119047619047619,yes,0.33463035019455256,0.3901813403017443,0.39534920640348625,127.0,86.0,0.0,0,-0.009727626459143948,-0.01361867704280155,29.0,30.0,1,29,True,0.0001,5e-06,
lrc0.0001,dermmnist,MobileNetV3,L30_G30,fioretto_ldf,4,67,2003,223,0.03344982526210684,178.25,164,198,0.08899151273090364,0.3758765778401122,yes,0.3741379310344828,0.5639389090149303,0.6822875227550087,38.25,67.0,0.0,0,-0.11724137931034483,-0.14482758620689656,23.5,22.5,1,29,,0.0001,0.0001,
lrc0.0001,dermmnist,MobileNetV3,L30_G30,hounie_rcl,4,67,2003,223,0.03344982526210684,178.25,164,198,0.08899151273090364,0.3758765778401122,yes,0.3413793103448276,0.48341862033682964,0.6576080557983035,21.75,67.0,0.0,2,-0.11724137931034483,-0.14482758620689656,26.5,25.5,1,29,,0.0001,0.0001,
lrc0.0001,dermmnist,MobileNetV3,L30_G30,tralo,4,67,2003,223,0.03344982526210684,178.25,164,198,0.08899151273090364,0.3758765778401122,yes,0.2655172413793103,0.36047575181064123,0.47692082180770357,9.5,67.0,0.0,4,-0.11724137931034483,-0.14482758620689656,22.75,23.75,1,29,True,0.0001,0.0001,
lrc0.0001,dermmnist,MobileNetV3,L50_G50,fioretto_ldf,4,112,2003,223,0.05591612581128307,178.25,164,198,0.08899151273090364,0.6283309957924264,yes,0.5299401197604791,0.6387188014072227,0.7187703953697688,90.25,111.0,0.0,0,-0.001497005988023964,-0.038922155688622784,23.5,22.5,1,29,,0.0001,0.0001,
lrc0.0001,dermmnist,MobileNetV3,L50_G50,hounie_rcl,4,112,2003,223,0.05591612581128307,178.25,164,198,0.08899151273090364,0.6283309957924264,yes,0.4610778443113772,0.5452224206984859,0.657986107730482,53.75,111.0,0.0,0,-0.001497005988023964,-0.038922155688622784,27.75,26.75,1,29,,0.0001,0.0001,
lrc0.0001,dermmnist,MobileNetV3,L50_G50,tralo,4,112,2003,223,0.05591612581128307,178.25,164,198,0.08899151273090364,0.6283309957924264,yes,0.528443113772455,0.6277249015095875,0.7108609765668616,84.0,111.0,0.0,0,-0.001497005988023964,-0.038922155688622784,26.0,27.0,1,29,True,0.0001,0.0001,
lrc0.0001,dermmnist,RegNetY400MF,L30_G30,fioretto_ldf,4,67,2003,223,0.03344982526210684,172.25,153,184,0.08599600599101348,0.3889695210449927,yes,0.37586206896551727,0.5578012248129538,0.6569420049561274,43.75,67.0,0.0,1,-0.27413793103448275,-0.2982758620689655,22.25,21.25,1,29,,0.0001,0.0001,
lrc0.0001,dermmnist,RegNetY400MF,L30_G30,hounie_rcl,4,67,2003,223,0.03344982526210684,172.25,153,184,0.08599600599101348,0.3889695210449927,yes,0.28793103448275864,0.39789374621910445,0.613725514919429,9.5,67.0,0.0,4,-0.27413793103448275,-0.2982758620689655,25.25,24.25,1,29,,0.0001,0.0001,
