dataset,model,cap,seed,ep,hard,soft,K,gsat,lsat,lam,ce,ongrid
dermmnist,MobileNetV3,L50_G50,4,19.0,99.0,102.53,112.0,1.0,1.0,0.05,0.005049,0
dermmnist,MobileNetV3,L50_G50,4,20.0,240.0,244.95,112.0,0.0,0.0,0.05,0.01097,1
dermmnist,MobileNetV3,L50_G50,4,21.0,103.0,101.65,112.0,1.0,1.0,0.05,0.008185,0
dermmnist,MobileNetV3,L50_G50,4,23.0,66.0,69.58,112.0,1.0,1.0,0.05,0.010254,0
dermmnist,MobileNetV3,L50_G50,4,25.0,144.0,145.83,112.0,0.0,0.0,0.05,0.015871,1
dermmnist,MobileNetV3,L50_G50,4,30.0,130.0,131.49,112.0,0.0,0.0,0.05,0.00765,1
octmnist,MobileNetV3,L50_G50,1,2.0,243.0,208.91,125.0,0.0,0.0,0.05,0.410681,0
octmnist,MobileNetV3,L50_G50,1,3.0,53.0,86.88,125.0,1.0,1.0,0.05,0.323418,0
octmnist,MobileNetV3,L50_G50,1,5.0,145.0,152.98,125.0,0.0,0.0,0.05,0.141271,1
octmnist,MobileNetV3,L50_G50,1,10.0,161.0,158.94,125.0,0.0,0.0,0.05,0.042781,1
octmnist,MobileNetV3,L50_G50,1,15.0,134.0,136.28,125.0,0.0,0.0,0.05,0.02691,1
octmnist,MobileNetV3,L50_G50,1,19.0,102.0,105.49,125.0,1.0,1.0,0.05,0.016111,0
octmnist,MobileNetV3,L50_G50,1,20.0,136.0,136.63,125.0,0.0,0.0,0.05,0.013353,1
octmnist,MobileNetV3,L50_G50,1,23.0,118.0,119.13,125.0,1.0,1.0,0.05,0.026314,0
octmnist,MobileNetV3,L50_G50,1,25.0,161.0,160.19,125.0,0.0,0.0,0.05,0.013793,1
octmnist,MobileNetV3,L50_G50,1,28.0,98.0,97.41,125.0,1.0,1.0,0.05,0.011433,0
octmnist,MobileNetV3,L50_G50,1,30.0,120.0,123.07,125.0,1.0,0.0,0.05,0.029405,1
octmnist,MobileNetV3,L50_G50,2,2.0,105.0,151.14,125.0,1.0,0.0,0.05,0.414535,0
octmnist,MobileNetV3,L50_G50,2,3.0,47.0,88.22,125.0,1.0,1.0,0.05,0.325431,0
octmnist,MobileNetV3,L50_G50,2,4.0,111.0,127.0,125.0,1.0,1.0,0.05,0.217659,0
octmnist,MobileNetV3,L50_G50,2,5.0,116.0,123.96,125.0,1.0,1.0,0.05,0.128289,1
octmnist,MobileNetV3,L50_G50,2,8.0,105.0,107.84,125.0,1.0,1.0,0.05,0.047553,0
octmnist,MobileNetV3,L50_G50,2,9.0,112.0,114.66,125.0,1.0,1.0,0.05,0.046335,0
octmnist,MobileNetV3,L50_G50,2,10.0,147.0,150.65,125.0,0.0,0.0,0.05,0.042373,1
octmnist,MobileNetV3,L50_G50,2,15.0,180.0,179.78,125.0,0.0,0.0,0.05,0.02566,1
