campaign,dataset,model,cap,seed,K,gated,gate_ep,n_off,n_rows,satisfied,first_sat,n_sat,exc_final,exc_min,soft_final,soft_min,raw_count,lam_peak_ep,lam_max,lam_final,lam_still_rising,overshoot_final,undercount_raw,tail4,tail5,tail7,tail9,tail11,tail13,ratio_after_lampeak,npts_after_lampeak,ratio_before_lampeak
lrc1e-4,tissuemnist,RegNetY400MF,L50_G50,3,86,0,,0,29,0,,0,266.0,14.0,221.31680000000011,116.50639999999999,93,28,0.011929,0.011929,1,-1.573451162790699,-0.08139534883720931,1.0,0.18266989223663843,0.12468217095541814,0.030422293625945916,0.1517878429721467,0.017657959232470304,,,0.02876296929974945
lrc1e-4,tissuemnist,RegNetY400MF,L50_G50,4,86,0,,0,29,0,,0,58.0,32.0,117.17600000000003,116.91680000000002,102,28,0.011583,0.011583,1,-0.3625116279069771,-0.18604651162790697,0.7092369723257386,0.10814717997465037,0.07291014327735089,0.12519139721569209,0.24242272931542513,0.01520509193776505,,,0.05471890061873558
lrc5e-5,dermmnist,MobileNetV3,L30_G30,1,67,1,16.0,13,29,1,27.0,2,0.0,0.0,51.008048000000144,51.008048000000144,41,26,0.012965,0.01284,0,0.2386858507462665,0.3880597014925373,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.44714040423212104
lrc5e-5,dermmnist,MobileNetV3,L30_G30,2,67,1,13.0,16,29,1,24.0,5,0.0,0.0,31.45876799999997,31.45876799999997,25,23,0.013738,0.01321,0,0.5304661492537318,0.6268656716417911,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,6.0,0.36970289354387553
lrc5e-5,dermmnist,MobileNetV3,L30_G30,3,67,1,14.0,14,28,1,23.0,5,0.0,0.0,37.09120399999973,37.09120399999973,31,21,0.009726,0.009182,0,0.44639994029851154,0.5373134328358209,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,0.17614278443449527
lrc5e-5,dermmnist,MobileNetV3,L30_G30,4,67,1,14.0,15,29,1,24.0,5,0.0,0.0,36.187851000000116,36.187851000000116,30,22,0.010735,0.010198,0,0.4598828208955207,0.5522388059701493,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,0.3285012904853393
lrc5e-5,octmnist,MobileNetV3,L30_G30,1,75,1,20.0,9,29,1,25.0,4,0.0,0.0,15.615000000000059,15.615000000000059,9,24,0.019675,0.018054,0,0.7917999999999992,0.88,1.0,1.0,1.0,1.0,0.5618831229741414,0.6221720880483924,1.0,5.0,0.1282601627735469
lrc5e-5,octmnist,MobileNetV3,L30_G30,2,75,1,24.0,5,29,1,28.0,1,0.0,0.0,58.52899999999995,58.52899999999995,37,27,0.020811,0.020637,0,0.21961333333333405,0.5066666666666667,1.0,1.0,1.0,0.8495581014730005,0.503174621942139,0.3715000145378442,,,0.10535107175644703
lrc5e-5,octmnist,MobileNetV3,L30_G30,3,75,1,22.0,7,29,1,26.0,3,0.0,0.0,20.938000000000308,20.938000000000308,9,25,0.024517,0.023543,0,0.7208266666666625,0.88,1.0,1.0,1.0,0.6175585957979906,0.6888154438212594,0.6675536377801753,1.0,4.0,0.14228470157099504
lrc5e-5,octmnist,MobileNetV3,L30_G30,4,75,1,17.0,10,27,1,22.0,5,0.0,0.0,15.03500000000001,15.03500000000001,7,21,0.016026,0.013944,0,0.7995333333333332,0.9066666666666666,1.0,1.0,1.0000000000000002,0.9999999999999999,1.0,0.713704724450085,1.0,6.0,0.10663955584569632
lrc5e-5,tissuemnist,MobileNetV3,L30_G30,1,51,0,,0,29,0,,0,496.0,36.0,312.61679999999996,121.49039999999997,69,28,0.015292,0.015292,1,-5.129741176470588,-0.35294117647058826,0.7037053696935645,0.3313239248492944,0.3150978230211024,0.3327322406872595,0.2637934641616805,0.30794222690728285,,,0.08590899214763344
lrc5e-5,tissuemnist,MobileNetV3,L30_G30,2,51,0,,0,29,0,,0,172.0,78.0,137.2368000000004,118.00800000000008,90,28,0.017132,0.017132,1,-1.6909176470588312,-0.7647058823529411,0.4030692046628277,0.11211695906432756,0.14202446663576604,0.08483143678195723,0.11106198102778925,0.08540127549409536,,,0.11005482657044971
lrc5e-5,tissuemnist,MobileNetV3,L30_G30,3,51,0,,0,29,0,,0,162.0,30.0,138.74400000000006,67.13520000000014,66,28,0.011181,0.011181,1,-1.7204705882352953,-0.29411764705882354,0.024097816704546242,0.07560562413775818,0.26350989591368185,0.01029633714517894,0.03189819591658041,0.013213025020173023,,,0.013138794409654861
lrc5e-5,tissuemnist,MobileNetV3,L30_G30,4,51,0,,0,29,1,0.0,1,96.0,0.0,105.13439999999976,93.95520000000002,39,28,0.010839,0.010839,1,-1.0614588235294071,0.23529411764705882,1.0,0.1249195624195646,0.01850178525998057,0.02998794128053524,0.014352145097250728,0.08158684837959602,,,0.06709868610601732
lrc5e-5,dermmnist,MobileNetV3,L50_G50,1,112,1,13.0,16,29,1,24.0,5,0.0,0.0,66.26550100000009,66.26550100000009,55,22,0.007774,0.006976,0,0.4083437410714278,0.5089285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,0.40829248907140003
lrc5e-5,dermmnist,MobileNetV3,L50_G50,2,112,1,14.0,13,27,1,22.0,5,0.0,0.0,64.08423400000015,64.08423400000015,55,20,0.008026,0.00723,0,0.4278193392857129,0.5089285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,0.4135263570218937
lrc5e-5,dermmnist,MobileNetV3,L50_G50,3,112,1,14.0,14,28,1,23.0,5,0.0,0.0,66.53790900000014,66.53790900000014,58,20,0.006483,0.005557,0,0.405911526785713,0.48214285714285715,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,0.10623321584424307
