Epoch,hard,soft,lam,sat,lg,cep,dataset,model,cap,seed
15,179,179.3,0.05,0,0.115379,14,octmnist,RegNetY400MF,L50_G50,3
20,129,134.23,0.05,0,0.007098,19,octmnist,RegNetY400MF,L50_G50,3
25,210,207.79,0.05,0,0.211722,24,octmnist,RegNetY400MF,L50_G50,3
30,148,152.56,0.05,0,0.038673,29,octmnist,RegNetY400MF,L50_G50,3
2,142,150.92,0.05,0,0.018893,1,octmnist,RegNetY400MF,L50_G50,1
5,213,220.99,0.06,0,0.332346,4,octmnist,RegNetY400MF,L50_G50,1
10,187,181.92,0.07,0,0.374395,9,octmnist,RegNetY400MF,L50_G50,1
15,134,133.08,0.08,0,0.019655,14,octmnist,RegNetY400MF,L50_G50,1
16,110,115.74,0.08,1,0.0,15,octmnist,RegNetY400MF,L50_G50,1
20,212,209.46,0.08,0,1.275014,19,octmnist,RegNetY400MF,L50_G50,1
25,200,202.25,0.08,0,1.126127,24,octmnist,RegNetY400MF,L50_G50,1
30,255,251.94,0.08,0,2.053434,29,octmnist,RegNetY400MF,L50_G50,1
2,183,195.96,0.05,0,0.079037,1,octmnist,RegNetY400MF,L50_G50,2
5,238,234.97,0.06,0,0.388481,4,octmnist,RegNetY400MF,L50_G50,2
7,108,112.49,0.06,1,0.0,6,octmnist,RegNetY400MF,L50_G50,2
10,167,160.4,0.06,0,0.108482,9,octmnist,RegNetY400MF,L50_G50,2
15,136,140.71,0.06,0,0.026635,14,octmnist,RegNetY400MF,L50_G50,2
20,148,147.48,0.06,0,0.049339,19,octmnist,RegNetY400MF,L50_G50,2
22,107,106.1,0.06,1,0.0,21,octmnist,RegNetY400MF,L50_G50,2
25,147,152.51,0.06,0,0.070097,24,octmnist,RegNetY400MF,L50_G50,2
30,110,107.48,0.06,1,0.0,29,octmnist,RegNetY400MF,L50_G50,2
2,174,211.61,0.05,0,0.239986,1,dermmnist,MobileNetV3,L30_G30,4
5,112,129.06,0.06,0,0.41039,4,dermmnist,MobileNetV3,L30_G30,4
10,72,80.72,0.07,0,0.094095,9,dermmnist,MobileNetV3,L30_G30,4
15,144,147.39,0.08,0,2.175612,14,dermmnist,MobileNetV3,L30_G30,4
20,88,89.11,0.09,0,0.561666,19,dermmnist,MobileNetV3,L30_G30,4
25,139,138.74,0.1,0,4.169343,24,dermmnist,MobileNetV3,L30_G30,4
30,109,109.99,0.11,0,3.031874,29,dermmnist,MobileNetV3,L30_G30,4
2,268,285.26,0.05,0,0.266727,1,dermmnist,MobileNetV3,L30_G30,3
5,160,160.02,0.06,0,0.579256,4,dermmnist,MobileNetV3,L30_G30,3
10,92,90.92,0.07,0,0.250174,9,dermmnist,MobileNetV3,L30_G30,3
13,49,52.11,0.07,1,0.0,12,dermmnist,MobileNetV3,L30_G30,3
15,123,125.83,0.07,0,1.32,14,dermmnist,MobileNetV3,L30_G30,3
20,97,99.9,0.07,0,0.59784,19,dermmnist,MobileNetV3,L30_G30,3
25,119,121.29,0.07,0,1.203136,24,dermmnist,MobileNetV3,L30_G30,3
30,101,102.15,0.07,0,0.662539,29,dermmnist,MobileNetV3,L30_G30,3
2,146,185.62,0.05,0,0.221485,1,dermmnist,MobileNetV3,L30_G30,1
5,68,73.79,0.06,0,0.013583,4,dermmnist,MobileNetV3,L30_G30,1
10,126,127.01,0.07,0,0.947999,9,dermmnist,MobileNetV3,L30_G30,1
15,124,123.96,0.08,0,1.55222,14,dermmnist,MobileNetV3,L30_G30,1
20,142,145.16,0.09,0,3.217245,19,dermmnist,MobileNetV3,L30_G30,1
