binding_gap,cls_cstr,d_conf_gap,d_f1_cstr,d_f1_uncstr,d_flips,d_macro_f1,d_pre_cstr,d_rec_cstr,data_dir,dataset,model,n_classes,ph_acc,ph_conf_gap,ph_f1_cstr,ph_f1_uncstr_mean,ph_macro_f1,ph_mean_entropy,ph_pre_cstr,ph_rec_cstr,ph_sup_cstr,pretrained,seed,sweep,tight,tight_pct
178.4,4,-0.017600000000000005,0.007499999999999979,-0.044983333333333375,-171.0,-0.03739999999999999,0.022199999999999998,0.00449999999999999,data/dermmnist_sigma30/slice_1,dermmnist,MobileNetV3,7,0.7234,0.0743,0.2015,0.48678333333333335,0.446,0.0577,0.6,0.1211,223.0,True,1,contamination_dermmnist,L20_G20,20
178.4,4,-0.0175,-0.00739999999999999,-0.036083333333333356,-179.0,-0.03199999999999997,-0.022199999999999998,-0.004400000000000001,data/dermmnist_sigma30/slice_1,dermmnist,MobileNetV3,7,0.7189,0.0905,0.1716,0.4890333333333334,0.4437,0.0644,0.5111,0.1031,223.0,True,2,contamination_dermmnist,L20_G20,20
66.9,4,-0.010599999999999998,-0.031700000000000006,0.006550000000000056,-56.0,0.0010000000000000009,-0.03849999999999998,-0.02689999999999998,data/dermmnist_sigma30/slice_1,dermmnist,MobileNetV3,7,0.7284,0.0743,0.3958,0.4882666666666666,0.4751,0.0577,0.4808,0.3363,223.0,True,1,contamination_dermmnist,L70_G70,70
66.9,4,-0.021900000000000003,-0.021099999999999952,0.02865000000000001,-66.0,0.021600000000000008,-0.02560000000000001,-0.017900000000000027,data/dermmnist_sigma30/slice_1,dermmnist,MobileNetV3,7,0.7229,0.0905,0.3641,0.4986333333333333,0.4794,0.0644,0.4423,0.3094,223.0,True,2,contamination_dermmnist,L70_G70,70
156.1,4,-0.012100000000000007,-0.020699999999999996,-0.020466666666666633,-147.0,-0.020500000000000018,-0.04480000000000006,-0.013399999999999995,data/dermmnist_sigma30/slice_1,dermmnist,MobileNetV3,7,0.7284,0.0743,0.2897,0.48955,0.461,0.0577,0.6269,0.1883,223.0,True,1,contamination_dermmnist,L30_G30,30
156.1,4,-0.017699999999999994,0.020699999999999996,-0.0031499999999999306,-154.0,0.00019999999999997797,0.04470000000000002,0.013499999999999984,data/dermmnist_sigma30/slice_1,dermmnist,MobileNetV3,7,0.7169,0.0905,0.2069,0.48534999999999995,0.4456,0.0644,0.4478,0.1345,223.0,True,2,contamination_dermmnist,L30_G30,30
111.5,4,-0.013000000000000005,0.0,-0.010783333333333367,-104.0,-0.009199999999999986,0.0,0.0,data/dermmnist_sigma30/slice_1,dermmnist,MobileNetV3,7,0.7264,0.0743,0.3353,0.48869999999999997,0.4668,0.0577,0.5045,0.2511,223.0,True,1,contamination_dermmnist,L50_G50,50
111.5,4,-0.02439999999999999,-0.006000000000000005,0.02504999999999996,-115.0,0.020600000000000007,-0.008999999999999952,-0.004500000000000004,data/dermmnist_sigma30/slice_1,dermmnist,MobileNetV3,7,0.7224,0.0905,0.3174,0.49243333333333333,0.4674,0.0644,0.4775,0.2377,223.0,True,2,contamination_dermmnist,L50_G50,50
81.6,0,-0.05850000000000001,0.0,0.002366666666666628,-76.0,0.0018000000000000238,0.0,0.0,data/aider_sigma20/slice_1,aider,MobileNetV3,4,0.8933,0.1375,0.3279,0.8822666666666666,0.7437,0.0374,1.0,0.1961,102.0,True,1,contamination_aider,L20_G20,20
81.6,0,-0.0169,0.0,-0.014733333333333376,-90.0,-0.01100000000000001,0.0,0.0,data/aider_sigma20/slice_1,aider,MobileNetV3,4,0.8874,0.0892,0.3279,0.8735333333333334,0.7371,0.0308,1.0,0.1961,102.0,True,2,contamination_aider,L20_G20,20
30.599999999999994,0,-0.025900000000000006,-0.011500000000000066,0.012733333333333263,-25.0,0.006700000000000039,-0.014000000000000012,-0.00979999999999992,data/aider_sigma20/slice_1,aider,MobileNetV3,4,0.9319,0.1375,0.7861,0.8995666666666667,0.8712,0.0374,0.9577,0.6667,102.0,True,1,contamination_aider,L70_G70,70
30.599999999999994,0,0.012499999999999997,0.0,0.012900000000000023,-38.0,0.009700000000000042,0.0,0.0,data/aider_sigma20/slice_1,aider,MobileNetV3,4,0.9294,0.0892,0.8092,0.8905666666666666,0.8702,0.0308,0.9859,0.6863,102.0,True,2,contamination_aider,L70_G70,70
71.4,0,-0.05050000000000002,0.0,0.013866666666666805,-65.0,0.010400000000000076,0.0,0.0,data/aider_sigma20/slice_1,aider,MobileNetV3,4,0.9025,0.1375,0.4662,0.8853666666666666,0.7806,0.0374,1.0,0.3039,102.0,True,1,contamination_aider,L30_G30,30
71.4,0,-0.011800000000000005,0.0,0.00893333333333357,-76.0,0.006700000000000039,0.0,0.0,data/aider_sigma20/slice_1,aider,MobileNetV3,4,0.8966,0.0892,0.4662,0.8754333333333332,0.7731,0.0308,1.0,0.3039,102.0,True,2,contamination_aider,L30_G30,30
51.0,0,-0.04820000000000001,-0.0131,0.009533333333333505,-45.0,0.0039000000000000146,-0.01959999999999995,-0.009799999999999975,data/aider_sigma20/slice_1,aider,MobileNetV3,4,0.9193,0.1375,0.6667,0.8910999999999999,0.835,0.0374,1.0,0.5,102.0,True,1,contamination_aider,L50_G50,50
