path,model,constraint,learning_rate,lambda_strategy,lambda_global,lambda_local,lambda_step,batch_size,warmup_epochs,max_epochs,constraint_threshold,status,converged,final_epoch,global_constraint_satisfied,local_constraint_satisfied,test_accuracy,,,,
TabularResNet\constraint_0.5_0.3\lr_lambda_test\lr_0.001_lambda_linear,TabularResNet,0.5_0.3,0.001,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,93,TRUE,TRUE,0.69,,,,
TabularResNet\constraint_0.5_0.3\lr_lambda_test\lr_0.001_lambda_transfer,TabularResNet,0.5_0.3,0.001,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,99,TRUE,TRUE,0.6946,,,,
TabularResNet\constraint_0.5_0.3\lr_lambda_test\lr_5e-05_lambda_balanced,TabularResNet,0.5_0.3,5.00E-05,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,396,TRUE,TRUE,0.5679,,,,
TabularResNet\constraint_0.5_0.3\lr_lambda_test\lr_5e-05_lambda_combined,TabularResNet,0.5_0.3,5.00E-05,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,350,TRUE,TRUE,0.5566,,,,
TabularResNet\constraint_0.5_0.3\lr_lambda_test\lr_5e-05_lambda_linear,TabularResNet,0.5_0.3,5.00E-05,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,527,TRUE,TRUE,0.5362,,,,
TabularResNet\constraint_0.5_0.3\lr_lambda_test\lr_5e-05_lambda_transfer,TabularResNet,0.5_0.3,5.00E-05,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,373,TRUE,TRUE,0.5724,,,,
TabularResNet\constraint_0.8_0.2\lr_lambda_test\lr_0.0001_lambda_balanced,TabularResNet,0.8_0.2,0.0001,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,336,TRUE,TRUE,0.5837,,,,
TabularResNet\constraint_0.8_0.2\lr_lambda_test\lr_0.0001_lambda_combined,TabularResNet,0.8_0.2,0.0001,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,405,TRUE,TRUE,0.5701,,,,
TabularResNet\constraint_0.8_0.2\lr_lambda_test\lr_0.0001_lambda_linear,TabularResNet,0.8_0.2,0.0001,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,445,TRUE,TRUE,0.5611,,,,
TabularResNet\constraint_0.8_0.2\lr_lambda_test\lr_0.0001_lambda_transfer,TabularResNet,0.8_0.2,0.0001,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,448,TRUE,TRUE,0.5701,,,,
TabularResNet\constraint_0.8_0.2\lr_lambda_test\lr_0.0005_lambda_balanced,TabularResNet,0.8_0.2,0.0005,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,142,TRUE,TRUE,0.5792,,,,
TabularResNet\constraint_0.8_0.2\lr_lambda_test\lr_0.0005_lambda_combined,TabularResNet,0.8_0.2,0.0005,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,141,TRUE,TRUE,0.586,,,,
