campaign,dataset,model,method,constraint_tag,seed,rep,cc_f1,f1_macro,acc,flips,sat,config_path
r2_seeds10,octmnist,ViTB16,tralo,L40_G40,6,,0.5543,0.7673,0.786,,,results/track_b/r2_seeds10/lane_gpu1/ViTB16/octmnist/L40_G40/tralo/seed_6/config.json
r2_seeds10,octmnist,ViTB16,tralo,L40_G40,10,,0.5029,0.7432,0.762,,,results/track_b/r2_seeds10/lane_gpu1/ViTB16/octmnist/L40_G40/tralo/seed_10/config.json
r2_seeds10,octmnist,ViTB16,danits_lp,L40_G40,6,,0.5486,0.7505,0.766,,,results/track_b/r2_seeds10/lane_gpu1/ViTB16/octmnist/L40_G40/danits_lp/seed_6/config.json
r2_seeds10,octmnist,ViTB16,danits_lp,L40_G40,10,,0.4686,0.7024,0.716,,,results/track_b/r2_seeds10/lane_gpu1/ViTB16/octmnist/L40_G40/danits_lp/seed_10/config.json
r2_seeds10,octmnist,ViTB16,fioretto_ldf,L40_G40,6,,0.5176,0.7543,0.776,,,results/track_b/r2_seeds10/lane_gpu1/ViTB16/octmnist/L40_G40/fioretto_ldf/seed_6/config.json
r2_seeds10,octmnist,ViTB16,fioretto_ldf,L40_G40,10,,0.4643,0.7277,0.75,,,results/track_b/r2_seeds10/lane_gpu1/ViTB16/octmnist/L40_G40/fioretto_ldf/seed_10/config.json
r2_seeds10,octmnist,ViTB16,tralo_bounded,L40_G40,6,,0.5291,0.7566,0.777,,,results/track_b/r2_seeds10/lane_gpu1/ViTB16/octmnist/L40_G40/tralo_bounded/seed_6/config.json
r2_seeds10,octmnist,ViTB16,tralo_bounded,L40_G40,10,,0.4643,0.7286,0.751,,,results/track_b/r2_seeds10/lane_gpu1/ViTB16/octmnist/L40_G40/tralo_bounded/seed_10/config.json
r2_seeds10,octmnist,ViTB16,fioretto_alm,L40_G40,6,,0.5176,0.7543,0.776,,,results/track_b/r2_seeds10/lane_gpu1/ViTB16/octmnist/L40_G40/fioretto_alm/seed_6/config.json
r2_seeds10,octmnist,ViTB16,fioretto_alm,L40_G40,10,,0.4643,0.7277,0.75,,,results/track_b/r2_seeds10/lane_gpu1/ViTB16/octmnist/L40_G40/fioretto_alm/seed_10/config.json
