method,model,tag,seed,cc_f1,macro_f1,flips,ctime_min
fioretto_restart,RegNetY400MF,L30_G30,4,0.36129032258064514,0.6942316831969593,33,2.776276644070943
fioretto_rh,RegNetY400MF,L30_G30,1,0.4174454828660436,0.7088069534057496,10,2.4890839060147605
fioretto_rh,RegNetY400MF,L30_G30,2,0.4,0.6824423129898822,12,2.0256850043932597
fioretto_rh,RegNetY400MF,L30_G30,3,0.3950617283950617,0.6945876110123701,4,2.073890825112661
fioretto_rh,RegNetY400MF,L30_G30,4,0.3824451410658307,0.6976290616143773,14,1.1832767248153686
hounie_rcl,RegNetY400MF,L30_G30,1,0.33663366336633666,0.6835883924142281,46,2.456760843594869
hounie_rcl,RegNetY400MF,L30_G30,2,0.2789115646258503,0.646070728429802,64,1.7748189409573873
hounie_rcl,RegNetY400MF,L30_G30,3,0.2866666666666667,0.6571434782074415,52,2.011219112078349
hounie_rcl,RegNetY400MF,L30_G30,4,0.2925170068027211,0.6737481403278813,64,1.0404299259185792
hounie_rh,RegNetY400MF,L30_G30,1,0.411214953271028,0.7023319471174889,10,2.6162178834279377
hounie_rh,RegNetY400MF,L30_G30,2,0.4024767801857585,0.6839694573005117,6,3.5481478373209634
hounie_rh,RegNetY400MF,L30_G30,3,0.38006230529595014,0.6835589704643966,10,2.1453967769940694
hounie_rh,RegNetY400MF,L30_G30,4,0.4123076923076923,0.7092091388906436,2,1.4203201572100321
tralo,RegNetY400MF,L30_G30,1,0.4307692307692308,0.709812904339317,2,2.3985976139704386
tralo,RegNetY400MF,L30_G30,2,0.41846153846153844,0.694095090548926,2,2.193565018971761
tralo,RegNetY400MF,L30_G30,3,0.3888888888888889,0.6932933530573284,4,2.99545533657074
tralo,RegNetY400MF,L30_G30,4,0.391304347826087,0.7032817080097453,8,0.9920124212900797
fioretto_ldf,ViTB16,L30_G30,1,0.2905405405405405,0.6798689406588887,60,4.603927580515544
fioretto_ldf,ViTB16,L30_G30,2,0.31438127090301005,0.673198157500748,54,4.44517240524292
fioretto_ldf,ViTB16,L30_G30,3,0.38095238095238093,0.7078819690241281,22,3.9158884326616925
fioretto_ldf,ViTB16,L30_G30,4,0.3559870550161812,0.7068655069630768,34,4.2366671403249105
fioretto_restart,ViTB16,L30_G30,1,0.2905405405405405,0.6798689406588887,60,4.6089118401209515
fioretto_restart,ViTB16,L30_G30,2,0.31438127090301005,0.673198157500748,54,4.446402033170064
fioretto_restart,ViTB16,L30_G30,3,0.38095238095238093,0.7078819690241281,22,3.903210099538167
fioretto_restart,ViTB16,L30_G30,4,0.3559870550161812,0.7068655069630768,34,4.226739311218262
fioretto_rh,ViTB16,L30_G30,1,0.3860759493670886,0.7124821959291983,20,5.769635629653931
fioretto_rh,ViTB16,L30_G30,2,0.425,0.7139455040576916,12,6.834936745961508
fioretto_rh,ViTB16,L30_G30,3,0.4086687306501548,0.7206547040077165,6,5.21866108973821
fioretto_rh,ViTB16,L30_G30,4,0.4148606811145511,0.7284098122460461,6,5.108417304356893
hounie_rcl,ViTB16,L30_G30,1,0.30201342281879195,0.6834908673626494,56,12.844261252880097
