campaign,arm,dataset,model,method,cap,seed,warmup,cc_f1,cc_prec,cc_rec,f1_macro,acc,ece,sat,flips,constrained_class,group_column,config_path
b1,danits_lp,dermmnist,ViTB16,danits_lp,L30_G30,4,50,0.3655,0.791,0.2377,0.6546,0.8118,0.1387,,0.0,4,loc_group,results/track_b/b1/dermmnist/ViTB16/warmup50/L30_G30/danits_lp/seed_4/config.json
b1,focal,dermmnist,ViTB16,focal,L30_G30,1,50,0.3655,0.791,0.2377,0.6887,0.8193,0.1015,,0.0,4,loc_group,results/track_b/b1/dermmnist/ViTB16/warmup50/L30_G30/focal/seed_1/config.json
b1,focal,dermmnist,ViTB16,focal,L30_G30,2,50,0.4138,0.8955,0.2691,0.7086,0.8283,0.0795,,0.0,4,loc_group,results/track_b/b1/dermmnist/ViTB16/warmup50/L30_G30/focal/seed_2/config.json
b1,focal,dermmnist,ViTB16,focal,L30_G30,3,50,0.3655,0.791,0.2377,0.6999,0.8253,0.0892,,0.0,4,loc_group,results/track_b/b1/dermmnist/ViTB16/warmup50/L30_G30/focal/seed_3/config.json
b1,focal,dermmnist,ViTB16,focal,L30_G30,4,50,0.3862,0.8358,0.2511,0.6982,0.8313,0.0889,,0.0,4,loc_group,results/track_b/b1/dermmnist/ViTB16/warmup50/L30_G30/focal/seed_4/config.json
b1,logit_adjust,dermmnist,ViTB16,logit_adjust,L30_G30,1,50,0.3586,0.7761,0.2332,0.6596,0.8168,0.1299,,0.0,4,loc_group,results/track_b/b1/dermmnist/ViTB16/warmup50/L30_G30/logit_adjust/seed_1/config.json
b1,logit_adjust,dermmnist,ViTB16,logit_adjust,L30_G30,2,50,0.4069,0.8806,0.2646,0.6467,0.8143,0.1251,,0.0,4,loc_group,results/track_b/b1/dermmnist/ViTB16/warmup50/L30_G30/logit_adjust/seed_2/config.json
b1,logit_adjust,dermmnist,ViTB16,logit_adjust,L30_G30,3,50,0.3724,0.806,0.2422,0.6465,0.8163,0.1253,,0.0,4,loc_group,results/track_b/b1/dermmnist/ViTB16/warmup50/L30_G30/logit_adjust/seed_3/config.json
b1,logit_adjust,dermmnist,ViTB16,logit_adjust,L30_G30,4,50,0.3862,0.8358,0.2511,0.6603,0.8133,0.1431,,0.0,4,loc_group,results/track_b/b1/dermmnist/ViTB16/warmup50/L30_G30/logit_adjust/seed_4/config.json
b1,tralo,dermmnist,ViTB16,tralo,L30_G30,1,50,0.3793,0.8209,0.2466,0.6474,0.8168,0.1611,,2.0,4,loc_group,results/track_b/b1/dermmnist/ViTB16/warmup50/L30_G30/tralo/seed_1/config.json
b1,tralo,dermmnist,ViTB16,tralo,L30_G30,2,50,0.3862,0.8358,0.2511,0.6896,0.8268,0.1548,,5.0,4,loc_group,results/track_b/b1/dermmnist/ViTB16/warmup50/L30_G30/tralo/seed_2/config.json
b1,tralo,dermmnist,ViTB16,tralo,L30_G30,3,50,0.3724,0.806,0.2422,0.6912,0.8263,0.1499,,0.0,4,loc_group,results/track_b/b1/dermmnist/ViTB16/warmup50/L30_G30/tralo/seed_3/config.json
b1,tralo,dermmnist,ViTB16,tralo,L30_G30,4,50,0.3862,0.8358,0.2511,0.6864,0.8233,0.1538,,6.0,4,loc_group,results/track_b/b1/dermmnist/ViTB16/warmup50/L30_G30/tralo/seed_4/config.json
