campaign,dataset,cap,model,seed,method,N,K,frac_shift,mu_c,mu_top1,top1_share,top1_class,n_infl_classes,dL2,cnt_before,cnt_after,cnt_shift_only,AP_before,AP_after,AP_shift_only
results/pending_runs/aider_asym,aider,L80_G20,MobileNetV3,4,tralo_bounded,1190,20,0.23789101913600916,-2.333032124008574,2.7851924449961785,1.0,3,1,7.490609975019222,101,13,95,0.9808180499733947,0.7154318655053262,0.9772186904399591
results/pending_runs/aider_asym,aider,L80_G20,MobileNetV3,4,fioretto_ldf,1190,20,0.23857889860672898,-2.3370780547017733,2.807894540400935,1.0,3,1,7.519418445433265,101,13,95,0.9808180499733947,0.7169704543957813,0.9771721877663203
results/pending_runs/aider_asym,aider,L80_G20,MobileNetV3,4,hounie_rcl,1190,20,0.22828113309836204,-2.601926699785542,3.0419254671828693,1.0,3,1,8.419499645651557,101,5,95,0.9808180499733947,0.47400992456142405,0.976887905442662
results/pending_runs/canon_gap_g2,dermmnist,L40_G40,MobileNetV3,1,tralo,2003,89,0.06100926576324856,-2.4881501544220868,1.5101786273077964,0.46412998337528216,6,4,12.777431807966455,217,87,141,0.4016038228386652,0.6773633844387843,0.4011424249038939
results/pending_runs/canon_gap_g2,dermmnist,L40_G40,MobileNetV3,1,tralo_bounded,2003,89,0.07076848972197518,-2.731024557976355,1.5072006400595117,0.42712221219376195,6,4,12.84207926164247,217,76,135,0.4016038228386652,0.6714538700165908,0.40175800327551847
results/pending_runs/canon_gap_g2,dermmnist,L40_G40,MobileNetV3,1,fioretto_ldf,2003,89,0.07077769143915114,-2.659056136941908,1.5170928221328288,0.42390194730641395,6,3,12.81500279338582,217,77,137,0.4016038228386652,0.6727146655539428,0.4022726017198963
results/pending_runs/canon_gap_g2,dermmnist,L40_G40,MobileNetV3,1,hounie_rcl,2003,89,0.0688086874045528,-2.7114771965117903,1.5151645232398518,0.4409134123506121,6,4,12.834671581623038,217,78,136,0.4016038228386652,0.6694294423290449,0.4011945637408072
results/pending_runs/canon_gap_g2,dermmnist,L40_G40,MobileNetV3,2,tralo,2003,89,0.07871885169506772,-2.6296181432483157,1.9378094281684994,0.4789738705113869,5,3,13.3311596873714,228,89,122,0.3626229143246295,0.6962869039470113,0.3697217139992334
results/pending_runs/canon_gap_g2,dermmnist,L40_G40,MobileNetV3,2,tralo_bounded,2003,89,0.09902209272183032,-2.965671191667537,2.4657608474634616,0.5656301975759657,5,3,13.469078410297627,228,81,102,0.3626229143246295,0.6816850609387856,0.3710643504287314
results/pending_runs/canon_gap_g2,dermmnist,L40_G40,MobileNetV3,2,fioretto_ldf,2003,89,0.10126902165281007,-2.8760589253984,2.601222916648514,0.5822836074942785,5,3,13.434433712870256,228,83,104,0.3626229143246295,0.6809045947890756,0.37192351958918307
results/pending_runs/canon_gap_g2,dermmnist,L40_G40,MobileNetV3,2,hounie_rcl,2003,89,0.1060184727925939,-3.2557162843937437,2.4221914209448197,0.5209552585460918,5,4,13.613020198311874,228,66,100,0.3626229143246295,0.6753088926311083,0.3694021335167236
results/pending_runs/canon_gap_g2,dermmnist,L40_G40,MobileNetV3,3,tralo,2003,89,0.39814913874070945,-2.618608546171749,1.8562265060834529,0.6433826047695377,5,2,5.210138424285362,209,87,113,0.7139584333260884,0.6783392815564888,0.7064056089798743
results/pending_runs/canon_gap_g2,dermmnist,L40_G40,MobileNetV3,3,tralo_bounded,2003,89,0.4209926014146388,-3.027664684298692,1.9014493391870346,0.5995058816407856,5,2,5.66104042178887,209,75,102,0.7139584333260884,0.6777992208874115,0.7070544327096784
results/pending_runs/canon_gap_g2,dermmnist,L40_G40,MobileNetV3,3,fioretto_ldf,2003,89,0.4183812245999569,-2.966178165800615,1.956978161005237,0.6296321062948776,5,2,5.63597711582629,209,78,104,0.7139584333260884,0.6774764469145231,0.7062995829551189
results/pending_runs/canon_gap_g2,dermmnist,L40_G40,MobileNetV3,3,hounie_rcl,2003,89,0.42055502135246564,-3.23583120645494,1.9126898922497233,0.562641649001057,5,2,5.976974288811442,209,66,98,0.7139584333260884,0.6692769569570625,0.7072733216982195
results/pending_runs/canon_gap_g2,dermmnist,L40_G40,MobileNetV3,4,tralo,2003,89,0.33427104084035425,-2.5186481867625345,2.7932484365712082,0.8255101011560878,5,1,6.640167107965694,212,87,136,0.7127348346679947,0.6838586126902025,0.7184021911509606
results/pending_runs/canon_gap_g2,dermmnist,L40_G40,MobileNetV3,4,tralo_bounded,2003,89,0.34391896634599756,-2.715586037129235,2.8660025679361776,0.8183354466058684,5,1,6.854544289244896,212,81,133,0.7127348346679947,0.6771366664927115,0.7183366571109495
results/pending_runs/canon_gap_g2,dermmnist,L40_G40,MobileNetV3,4,fioretto_ldf,2003,89,0.34082282903583305,-2.574567566251194,2.8205102917120275,0.8236770109977447,5,1,6.6785723202764755,212,84,135,0.7127348346679947,0.6828554957769842,0.7183185581063495
